question,option_a,option_b,option_c,option_d,answer,explanation,source
"在操作「心肺復甦術 (CPR)」時，按壓胸部的深度至少需達到幾公分？","1公分","3公分","5公分","10公分","C","對成人實施 CPR，按壓深度建議至少 5 公分，以確保能有效擠壓心臟輸送血液。","國軍緊急救護訓練手冊"
"新兵入伍後，在營區內是否可以「喝酒」？","可以，少量即可","只有放假前可以","絕對禁止","長官請客就可以","C","營區內全面禁酒（包含含有酒精的提神飲料），違者依軍紀嚴懲。","國軍軍風紀維護實施規定"
"關於 T91 步槍的清潔，使用「銅刷」主要是用來刷洗哪裡？","槍身外部","槍托","槍膛（藥室）與槍管內部","刺刀","C","銅刷硬度適中，專門用於清除槍管與藥室內部的積碳與銅垢。","輕兵器保養手冊"
"當指揮官下達「跑步」預令時，雙手應做什麼動作？","不動","握拳並迅速提至腰際","舉手","拍手","B","聞「跑步」預令，雙手應握拳並迅速提至腰際（手肘彎曲約90度），準備起跑。","國軍基本教練"
"若在營區內撿到「錢包」，應送交何處？","自己收起來","交給鄰兵","交給安官桌或輔導長招領","丟垃圾桶","C","拾金不昧是軍人基本品德，應立即交由幹部或安官桌進行遺失物招領。","國軍內部管理實務"
"關於「軍歌比賽」的評分標準，除了歌聲外，還包含什麼？","指揮動作與隊伍步伐整齊度","舞步","服裝華麗度","個人獨唱","A","軍歌比賽重視團隊精神，步伐整齊、精神士氣與指揮官的表現皆是評分重點。","政戰實務工作"
"下列何者是「士官」階級中最低的階級？","二兵","下士","少尉","士官長","B","士官階級由低至高為：下士、中士、上士、士官長。","陸海空軍軍官士官任官條例"
"在野外行軍遇雨天時，關於「雨衣」的穿著，通常會將什麼裝備包在雨衣裡面？","槍枝","S腰帶與彈袋","背包","以上皆非","B","穿著舊式雙濕牌雨衣或斗篷時，S腰帶與裝備通常繫於雨衣內側（或依單位規定），以免裝備淋濕。","國軍服裝穿著規定"
"若發生「性騷擾」案件，被害人可於事件發生後多久內提出申訴？","24小時","1週","1年","依性平法規定（通常為知悉後1年內）","D","依規定，性騷擾申訴通常應於知悉事件後一年內提出（視情節與法規更新而定）。","國軍人員性騷擾處理實施規定"
"新兵在「手榴彈投擲」前，必須先完成什麼訓練以確保臂力與安全？","伏地挺身","3000公尺跑","手榴彈基本投擲動作與暖身","游泳","C","投彈極易造成手臂拉傷或脫臼，投擲前必須進行充分暖身與動作模擬訓練。","手榴彈投擲訓練手冊"
"軍中「公發內衣」的顏色通常為？","紅色","迷彩綠（墨綠）","白色","黃色","B","現行國軍操作服內搭之公發內衣為迷彩綠（墨綠色），具排汗功能。","國軍服制規定"
"在各種隊形集合時，「看齊」的基準通常是依據誰？","排尾","排頭（中央伍）","班長","連長","B","隊伍看齊通常以「排頭」或指揮官指定之「中央伍」為基準進行標齊。","國軍基本教練"
"關於「軍人禮節」，在校園或營外穿著制服遇到國旗時，應如何致意？","不用理會","行舉手禮或立正致敬","躲起來","拍照","B","身著軍服代表國家，遇國旗或升降旗儀式應行舉手禮或立正致敬。","國軍內部管理實務"
"下列何者為 T91 步槍的「火藥氣體」運作方式？","直接吹氣式","短衝程活塞傳動式","反衝作用式","手動拉栓","B","T91 採用短衝程活塞傳動設計，能有效減少積碳，提升槍枝可靠性與清潔便利性。","兵工裝備諸元手冊"
"在軍中「收假」回營時，通常會立即進行什麼檢查？","智力測驗","尿液篩檢與違禁品（背包）檢查","體能測驗","唱歌","B","為防止攜帶毒品或違禁品入營，收假時安檢（翻背包）與不定時尿篩是標準程序。","營區門禁管制規定"
"軍人階級中，「下士」的識別標誌為何？","一條細折槓","一條粗折槓","一條粗折槓加一細線","一顆星","B","下士階級為一條粗折槓（俗稱一勾），是士官階級的起點。","陸海空軍服制條例"
"關於「中暑」處置，若患者意識清楚，應給予何種飲料補充水分？","熱水","含酒精飲料","稀釋之電解質飲料或加鹽冷開水","咖啡","C","意識清楚之中暑患者，應補充含電解質之水分（如運動飲料或鹽水），避免喝純水導致電解質失衡。","國軍中暑防治作業手冊"
"單兵戰鬥教練中，關於「敵機臨空」的處置動作，槍枝應如何擺放？","對空射擊","槍口朝下，將槍身壓在身體下方掩蔽","槍口朝上","拋棄槍枝","B","遇敵機臨空應迅速臥倒掩蔽，並將槍身壓於身下，避免槍枝金屬反光暴露位置。","單兵戰鬥教練手冊"
"下列何者屬於 T91 步槍的「上機匣」組件？","槍托","握把","提把（照門座）與槍管","彈匣","C","T91 採上下機匣分離設計，上機匣總成包含槍管、瓦斯鋼管與提把（或戰術滑軌）。","兵工裝備諸元手冊"
"若在操課中發生「扭傷」或「拉傷」，急救處理原則「PRICE」中的「I」代表什麼？","注射 (Inject)","冰敷 (Ice)","忽視 (Ignore)","吸入 (Inhale)","B","急性運動傷害處理原則中的 I 代表 Ice（冰敷），用以減少腫脹與疼痛。","國軍體能訓練手冊"
"軍中規定「操作服（迷彩服）」的上衣下擺，應如何穿著？","隨便放","紮入褲內（紮衣服）","放在褲子外面","打結","B","依據服制規定，操作服上衣下擺必須紮入褲內，並繫緊 S 腰帶，展現精神與俐落感。","國軍服裝穿著規定"
"在實施「清槍」動作時，最後一個步驟（擊發前）必須確認什麼？","保險已關","槍托已折疊","藥室內無子彈","彈匣已裝上","C","清槍最關鍵步驟是「目視藥室無彈」，確認空槍後才能進行擊發（釋放擊錘）。","輕兵器射擊訓練手冊"
"下列關於「上尉」的階級識別標誌？","一條粗槓","二條粗槓","三條粗槓","一顆梅花","C","上尉階級為三條粗槓（三槓），是軍官連長級職務常見的階級。","陸海空軍服制條例"
"新兵入伍期間，若親友寄送包裹到營區，包裹會如何處理？","直接送到床上","需在幹部面前當場拆封檢查（安檢）","不能收包裹","被退回","B","為防違禁品夾帶，所有寄入營區之包裹皆須由本人在幹部監督下當場拆封檢查。","郵件包裹檢查規定"
"在軍中「行進」間，若要改為「跑步」，口令順序為何？","直接跑","跑步─走","快跑─走","預備─跑","B","跑步口令由預令「跑步」與動令「走」組成，聞預令提手，聞動令起跑。","國軍基本教練"
"關於「軍用睡袋」的整理，通常要求折疊成什麼形狀？","圓筒狀","豆腐干（方塊狀）","隨便塞","三角形","B","依據內務規定，睡袋通常需折疊成方正的豆腐干形狀，或捲收成整齊圓筒（視單位規定）。","內務教則"
"若在休假期間發生「酒駕」被警察攔檢，除了配合調查外，應做什麼？","隱瞞身分","立刻回報部隊","拒絕酒測","逃跑","B","隱匿酒駕只會罪加一等，應立即回報部隊，由單位協處後續法律與行政程序。","國軍軍風紀維護實施規定"
"T91 步槍的「瓦斯鋼管」主要功能為何？","裝水","導引火藥氣體推動活塞","裝飾","散熱","B","瓦斯鋼管負責將擊發後的火藥氣體導引至活塞，進而推動槍機後退完成自動循環。","兵工裝備諸元手冊"
"軍中「榮譽團結會（榮團會）」的主要功能為何？","看電影","檢討生活設施、伙食與建議事項","罵長官","純粹聊天","B","榮團會是公開的民主建議時間，官兵可針對伙食、設施或權益提出建議與討論。","政治作戰實務"
"下列何者是「中校」的階級識別標誌？","一顆梅花","兩顆梅花","三顆梅花","一顆星","B","中校階級為兩顆梅花，通常擔任營長級職務。","陸海空軍服制條例"
"在野外訓練中，若必須「野外如廁（大號）」，應如何處理排泄物？","直接拉在路上","挖貓洞掩埋","拉在河裡","帶回營區","B","為維護衛生與避免蹤跡暴露，應挖掘「貓洞」將排泄物掩埋。","野外求生教範"
"新兵在「打靶」時，若發現準星模糊不清，可能是什麼原因？","眼睛壞了","覘孔太小","未正確對焦（應將焦點放在準星上）","槍枝故障","C","射擊時眼睛應聚焦於「準星」（準星清楚、目標模糊），若焦點錯誤會導致準星模糊。","輕兵器射擊訓練手冊"
"關於「軍用手電筒」的使用，夜間戰術行動中通常會使用哪種顏色的濾光片？","白光","紅光","藍光","綠光","B","紅光較不易破壞人眼的暗適應能力，且光線傳遞距離較短，適合夜間隱密行動。","單兵戰鬥教練手冊"
"若在營區內看到「憲兵」執行勤務，其主要職責為何？","煮飯","軍法紀維護與門禁管制","發薪水","打掃","B","憲兵為軍中警察（MP），負責軍紀糾察、門禁管制與維護軍法紀。","憲兵勤務令"
"下列何者為 T91 步槍的「彈匣」材質？","紙製","木頭","鋁合金或強化塑膠","玻璃","C","現役 T91 彈匣多為鋁合金或透明強化塑膠（可透視彈量）製成。","兵工裝備諸元手冊"
"軍人「留守」是指什麼意思？","被關禁閉","全連放假時，需留下一部分人員看守營區","自願加班","不能回家","B","部隊需24小時運作，故放假期間需安排部分人員「留守」執行衛哨與戰備任務。","國軍人員休假規定"
"在單兵戰鬥教練中，關於「掩蔽」與「隱蔽」的區別，下列何者正確？","沒差別","隱蔽可防彈，掩蔽只防看","掩蔽可防彈（保護身體），隱蔽只防看（隱藏蹤跡）","隱蔽是躲在樹上","C","掩蔽物（如牆壁）可擋子彈；隱蔽物（如草叢）僅能遮蔽視線，無法抵擋敵火。","單兵戰鬥教練手冊"
"關於「軍人保險（軍保）」的受益對象，通常第一順位是誰？","朋友","配偶或直系親屬","鄰居","長官","B","軍保與撫卹金之法定受益人第一順位通常為配偶，其次為子女、父母等直系親屬。","軍人保險條例"
"若在操課中發生「熱衰竭」（大量流汗、皮膚濕冷），應如何處置？","蓋棉被保暖","移至陰涼處、補充水分與鹽分","激烈運動","喝熱湯","B","熱衰竭與中暑不同，皮膚濕冷代表身體仍在散熱，應立即休息並補充流失的水分與鹽分。","國軍中暑防治作業手冊"
"軍用「小帽（迷彩帽）」在室內是否需要脫帽？","不用","看心情","必須脫帽","長官說脫才脫","C","依據軍人禮節，進入室內應自動脫帽（除非武裝衛哨或特定勤務）。","國軍內部管理實務"
"T91 步槍的「槍托底板」內，通常設有空間可以存放什麼？","零食","私房錢","擦槍工具（通槍條/刷）","手機","C","T91 槍托內設有收納空間，可存放組合式通槍條與清潔刷等保養工具。","兵工裝備諸元手冊"
"下列何者為「少校」的階級識別標誌？","一顆梅花","兩顆梅花","三顆梅花","一條槓","A","少校階級為一顆梅花，是校官階級的起點。","陸海空軍服制條例"
"在軍中「會客」時，家屬能否進入寢室參觀？","可以","絕對禁止","長官同意就可以","只有媽媽可以","B","寢室屬於部隊生活隱私區域與管制區，嚴禁家屬或外賓進入。","營區門禁管制規定"
"在 T91 步槍的射擊選擇桿上，數字「1」代表什麼模式？","保險","全自動","三發點放","半自動（單發）","D","T91 選擇桿標示：S(保險)、1(單發)、3(三發點放)、A(全自動)。","兵工裝備諸元手冊"
"關於「燒燙傷」的急救處理五步驟，口訣為何？","叫叫ABC","沖脫泡蓋送","拉拉壓","拍拉看","B","燒燙傷急救標準程序：沖（冷水沖洗）、脫（小心脫衣）、泡（冷水浸泡）、蓋（覆蓋乾淨布）、送（送醫）。","國軍緊急救護訓練手冊"
"下列何者是「中校」的階級識別標誌？","一顆梅花","兩顆梅花","三顆梅花","一顆星","B","中校階級為兩顆梅花，通常擔任營長職務。","陸海空軍服制條例"
"軍中「洗衣費」通常是如何支付的？","免費","每次投幣","每月從薪餉中扣除（團體送洗）","自己手洗不用錢","C","新訓期間為求統一與效率，通常委外廠商洗滌，費用由薪餉中扣除；內衣褲則多需手洗。","新兵生活管理實務"
"在單兵戰鬥教練中，夜間通過「照明彈」照射區域時，應如何處置？","立刻趴下（臥倒）並閉上一眼","站起來跑","大叫","用手電筒照回去","A","遇照明彈應立即臥倒，並閉上一眼（保留夜視能力），待照明彈熄滅後再繼續前進。","單兵戰鬥教練手冊"
"關於 T91 步槍的「全自動」射擊模式，選擇桿應轉到哪個位置？","S","1","3","A","「A」代表 Automatic（全自動），扣住板機不放可連續擊發。","兵工裝備諸元手冊"
"若在操課中發生「骨折」現象，急救時最重要的原則是？","用力把骨頭喬回去","固定患處，避免移動","熱敷","按摩","B","骨折急救首重「固定」，切勿隨意移動或嘗試復位，以免刺傷血管神經。","國軍緊急救護訓練手冊"
"軍人「立正」姿勢時，兩腳腳尖應向外張開約幾度？","30度","45度","60度","90度","B","依據國軍基本教練，立正時兩腳跟靠攏，腳尖向外張開約 45 度。","國軍基本教練"
"下列何種行為屬於「掠奪/搶奪」財物，在軍法中屬重罪？","跟鄰兵借錢","拿錯別人的飲料","強行取走居民或同袍財物","撿到錢沒歸還","C","趁戰事或公權力不彰時，強行取走他人財物屬掠奪罪，軍法判刑極重。","陸海空軍刑法"
"新兵入伍發放的「迷彩短褲」，通常在什麼時機穿著？","睡覺或體能活動時","基本教練時","打靶時","莒光日","A","迷彩短褲主要用於夏季就寢、體能訓練或特定休閒時間穿著。","國軍服裝穿著規定"
"T91 步槍的「三發點放」功能，主要設計目的為何？","節省子彈並提高命中率","增加後座力","為了好玩","清除積碳","A","三發點放可避免全自動射擊造成的彈藥浪費與槍口上揚，提高點目標之殺傷機率。","兵工裝備諸元手冊"
"關於「軍用軍毯（毛毯）」的折疊，通常要求折成什麼形狀？","圓形","豆腐干（方正有稜角）","隨便摺","捲起來","B","軍毯需折疊成方正的豆腐干狀，置於床頭定位，線條須平整修飾。","內務教則"
"下列何者為「少將」的階級識別標誌？","一顆星","二顆星","三顆星","四顆星","A","少將階級為一顆星，通常擔任旅長或指揮官職務。","陸海空軍服制條例"
"若在野外遇到「虎頭蜂」盤旋，應如何處置？","揮手驅趕","用火燒","保持冷靜，反向緩慢離開，切勿拍打","大聲尖叫","C","遇到虎頭蜂切勿揮趕或拍打，應壓低身體、緩慢安靜地向反方向離開。","野外求生教範"
"在軍中聽到「向右看─齊」口令時，排頭（第一員）應如何動作？","向右轉頭","舉手","不動","蹲下","C","排頭為基準人員，聽到口令後應保持不動，由其他人員向其看齊。","國軍基本教練"
"T91 步槍射擊時，若發生「卡彈」且無法立即排除，應舉手高喊什麼？","卡彈了","救命","故障","沒子彈","C","遇槍枝故障無法排除，應槍口朝前舉紅旗（或舉手）高喊「故障」。","輕兵器射擊訓練手冊"
"關於「防毒面具」的飲水器功能，主要是為了什麼情況設計？","隨時喝飲料","核生化沾染環境下，不脫面具也能補充水分","洗臉","刷牙","B","防毒面具設有飲水管連接水壺，確保在遭毒氣汙染環境下仍能安全飲水。","核生化防護教範"
"軍中「禁足」處分，通常是指？","把腳綁起來","禁止休假（例假日留營）","禁止下床","禁止走路","B","禁足為行政處分的一種，指在例假日禁止離營休假，需留在營區內（通常需出公差或自習）。","陸海空軍懲罰法"
"下列何者是「一等士官長」的階級識別標誌？","二粗一細","二粗二細","粗折槓搭配三條細弧線","一顆星","C","一等士官長識別為粗折槓搭配三條細弧線，是士官最高階級。","陸海空軍服制條例"
"在操作 T91 步槍時，槍機拉柄位於槍身的何處？","左側","右側","上方（提把內）","下方","C","T91 槍機拉柄位於上機匣上方（提把下方），採雙邊操作設計。","兵工裝備諸元手冊"
"若在營區內發生「停電」，衛哨兵應如何處置？","立刻睡覺","提高警覺，加強監控與巡查","拿出手機玩","離開崗位","B","停電時電子安防系統可能失效，衛哨應提高警覺，加強目視觀測與巡邏。","衛哨勤務教範"
"關於「軍用S腰帶」的佩戴位置，應該在身體的哪裡？","胸口","髖骨（腰部）上方，繫緊","膝蓋","脖子","B","S腰帶應繫於腰際（髖骨上方），並確實束緊，以免掛載裝備後滑落。","國軍服裝穿著規定"
"新兵在「手榴彈投擲」訓練中，若因緊張導致手榴彈掉落在腳邊，應立即做什麼？","撿起來丟","往外踢","立刻跳入避彈坑或滾離現場","發呆","C","實彈投擲若掉落，應立即翻滾入避彈坑或依教官指示撤離，生死一瞬間。","手榴彈投擲安全規定"
"軍人「敬禮」時，手掌心應朝向何處？","朝外","朝內","朝下（微向內傾斜）","朝上","C","國軍舉手禮手掌心微向內（下方）傾斜，不得將掌心直接正對前方（那是美式/波蘭式等其他規定）。","國軍基本教練"
"下列關於「上校」的階級識別標誌？","一顆梅花","兩顆梅花","三顆梅花","一顆星","C","上校為三顆梅花，是校官最高階級。","陸海空軍服制條例"
"在野外行軍，為預防「腳底起水泡」，襪子應該怎麼穿？","穿破襪子","穿兩雙（內薄外厚）或厚襪，並保持乾燥","不穿襪子","穿濕襪子","B","穿著雙層襪可減少皮膚與鞋面直接摩擦，保持乾燥則是預防起水泡的關鍵。","野外求生與裝備保養"
"關於 T91 步槍的「防火帽」開口方向，通常是朝向？","正上方","正下方","兩側偏上方","隨便開孔","C","防火帽開口通常朝向側上方，利用噴氣抑制槍口上揚，並避免吹起地面揚塵。","兵工裝備諸元手冊"
"軍中「早點名」時，值星官喊「中央伍為準」，中央伍需舉哪隻手？","右手","左手","雙手","不用舉手","B","國軍操典規定，聞「以中央伍為準」時，基準兵應舉「左手」並答「我」。","國軍基本教練"
"若因公出差（如受訓），搭乘大眾運輸工具時，能否坐博愛座？","絕對不行","可以，若無人需要時可坐，但需讓座給老弱婦孺","穿軍服不能坐","看心情","B","軍人亦是公民，比照一般乘客規定，但著軍服時應更注意禮讓與形象。","國軍軍風紀維護實施規定"
"在「核生化」狀況下，使用神經毒劑解毒針（阿托品）時，應注射於何處？","手臂","大腿外側肌肉","屁股","肚子","B","解毒針設計為可直接穿透褲子，注射於大腿外側肌肉豐富處，吸收最快。","核生化防護教範"
"在軍中聽到「向左─轉」口令時，應以哪隻腳的腳跟為軸心？","右腳","左腳","雙腳","隨便","B","向左轉動作：以左腳跟為軸心，右腳尖為輔助，向左旋轉90度。","國軍基本教練"
"T91 步槍的「藥室」是用來容納什麼的？","槍機","子彈","刺刀","瓦斯","B","藥室位於槍管後端，用以容納子彈並承受擊發時的火藥壓力。","兵工裝備諸元手冊"
"關於「禁閉室」改為「悔過室」後，受悔過處分的人員主要在做什麼？","做苦工","看電視","法治教育、心理輔導與體能活動（徒手）","被毆打","C","悔過期間每日排定法治教育、心輔課程與適度徒手體能活動，嚴禁不當管教。","陸海空軍懲罰法"
"下列何者為「二級上將」的階級識別標誌？","二顆星","三顆星","四顆星","五顆星","B","現行國軍體制下，上將階級識別皆為三顆星（習慣上稱二級上將，一級上將已極少晉升）。","陸海空軍服制條例"
"若在操課中發生「中暑」昏迷，能否強行灌水？","可以，多喝水沒事","不行，應採靜脈注射或立刻送醫，灌水會嗆到","喝運動飲料","喝熱水","B","意識不清或昏迷患者嚴禁由口灌水，以免造成呼吸道阻塞或吸入性肺炎。","國軍中暑防治作業手冊"
"新兵在「單兵戰鬥教練」中，通過「敵鹿砦（障礙物）」時，通常採用何種方式？","爬過去","偵察、爆破或破壞通過","繞路回家","坐下休息","B","遇障礙物（如鹿砦、鐵絲網）應依偵察、破壞（剪斷/爆破）、通過之程序處置。","單兵戰鬥教練手冊"
"T91 步槍的「槍管」內有幾條膛線？","2條","4條","6條","10條","C","T91 步槍槍管內具備 6 條右旋膛線，用以讓彈頭旋轉穩定飛行。","兵工裝備諸元手冊"
"軍人「敬禮」時，上臂應與肩膀呈多少角度（約略）？","垂直","水平","約90度（水平）至自然下垂之間","隨便","B","依據教範，行舉手禮時上臂約與肩同高（水平），前臂與上臂約呈45-60度角。","國軍基本教練"
"下列關於「士官長」的敘述，何者正確？","是軍官","是士兵","是士官階級的最高層級","是替代役","C","士官長屬於士官階級的頂點，地位崇高，通常擔任部隊經驗傳承與管理要角。","陸海空軍軍官士官任官條例"
"若在營區內發現「火災」，使用滅火器時應站在哪個位置？","下風處","上風處","火源中間","隨便站","B","滅火時應站在「上風處」，避免被火焰、濃煙或滅火粉末撲向自己。","消防安全教育手冊"
"關於 T91 步槍的「大部分解」，結合銷（插銷）通常有幾根？","1根","2根（前、後）","3根","5根","B","T91 大部分解需推出「後結合銷」與「前結合銷」共兩根，以分離上下機匣。","輕兵器保養手冊"
"軍中「逾假未歸」幾天會被發布通緝（離營通報）？","1天","3天","6天（戰時2天）","1個月","C","依現行規定，無故離去或不就職役逾 6 日（戰時為 2 日）即發布通緝。","陸海空軍刑法"
"在「核生化」攻擊後，若要脫除防毒面具，必須先確認什麼？","肚子餓不餓","環境是否已安全（無毒）","面具壞了沒","長官說好","B","脫除面具前需經偵檢確認環境安全（解除警報），或依指揮官命令始可脫除。","核生化防護教範"
"下列何者是「准尉」的階級（國軍現行制度）？","一條槓","一顆梅花","國軍現行制度無准尉","一顆星","C","國軍現行階級制度中並無「准尉」階級，士官長之上即為少尉。","陸海空軍軍官士官任官條例"
"若在行軍中感到「腳底發熱（疑似起水泡）」，應如何處置？","不予理會","立即停下檢查，並在發熱處貼透氣膠帶保護","把鞋子脫掉不穿","用水泡濕","B","腳底發熱是起水泡的前兆，應立即保護患處（貼膠帶或更換襪子），防止水泡形成。","野外求生與裝備保養"
"T91 步槍的「槍機」上，負責抓住彈殼底緣將其拉出的零件是？","撞針","拋殼挺","抓殼鉤","板機","C","抓殼鉤位於槍機前方，負責在槍機後退時勾住彈殼底緣，將其拉出藥室。","兵工裝備諸元手冊"
"軍中「安全士官」交接時，最重要的清點項目是？","零食","人員、槍械彈藥與重要裝備","掃把","垃圾桶","B","安官交接首重「人（人數）、槍（數量與鎖具）、彈（彈藥數量）」，缺一不可。","國軍內部管理實務"
"下列何者為「三等士官長」的階級識別標誌？","一粗折槓","二粗折槓","粗折槓搭配一條細弧線","一顆星","C","三等士官長識別為粗折槓搭配下方一條細弧線。","陸海空軍服制條例"
"在野外求生中，若必須飲用生水，應優先選擇何種水源？","靜止的池塘水","流動的溪水（上游）","海水","有動物屍體的水","B","流動且清澈的溪水（尤指上游）汙染較少，但仍建議煮沸或過濾後飲用。","野外求生教範"
"T91 步槍的「照門（覘孔）」上，通常有標示射程數字，數字「2」代表？","20公尺","200公尺","2000公尺","2公里","B","照門上的數字對應有效射程，2 代表 200 公尺歸零或射擊設定。","輕兵器射擊訓練手冊"
"關於「內務」整理，蚊帳折好後通常要放在床鋪的哪個位置？","床尾","床頭（枕頭旁或下方）","中間","塞到床下","B","依各單位規定，折疊好的蚊帳通常置於床頭中央或枕頭上/旁，標齊對正。","內務教則"
"若在操課中發生「毒蛇咬傷」，應記錄什麼資訊以利送醫？","蛇的顏色、花紋、形狀特徵","蛇的長度","蛇的性別","蛇的名字","A","記住蛇的特徵（花紋、頭型）有助於醫生判斷蛇種，施打正確的抗蛇毒血清。","國軍緊急救護訓練手冊"
"軍人「服儀」規定中，關於鬍鬚的留養？","可以隨便留","可以留落腮鬍","原則上必須刮除乾淨","看心情","C","國軍官兵（除特定任務或准許外）原則上應每日刮鬍，保持儀容整潔清爽。","國軍儀容規定"
"T91 步槍的「傳動機構」中，活塞是用來推動什麼？","槍機框（連桿）","子彈","板機","槍管","A","火藥氣體推動活塞，活塞向後撞擊槍機框（推桿），進而帶動槍機解鎖後退。","兵工裝備諸元手冊"
"在單兵戰鬥教練中，關於「掩護」隊友前進，通常採用的射擊方式為？","精準射擊","火力壓制射擊","隨便亂打","不射擊","B","掩護射擊旨在壓制敵軍火力，使其無法抬頭，讓隊友能安全躍進。","單兵戰鬥教練手冊"
"下列關於「中將」的階級識別標誌？","一顆星","二顆星","三顆星","四顆星","B","中將為二顆星，是軍團指揮官等級的高階將領。","陸海空軍服制條例"
"新兵在「刺槍術」訓練時，最基本的預備姿勢稱為？","基本刺","氣刀體一致","用槍","防左刺","C","刺槍術的開始口令為「氣刀體一致─用槍」，隨即進入持槍預備姿勢。","國軍刺槍術教範"
"關於 T91 步槍的「撞針」，其功能為何？","退殼","撞擊子彈底火引爆火藥","瞄準","保險","B","撞針受擊錘打擊後前衝，撞擊子彈底火，引燃發射藥擊發子彈。","兵工裝備諸元手冊"
"軍中「莒光日」電視教學通常會播放哪個節目？","莒光園地","新聞聯播","綜藝大集合","電影台","A","每週四下午固定收視華視製作的《莒光園地》軍事教育節目。","政戰實務工作"
"若在衛哨勤務中發現「彈藥庫失火」，第一動作為何？","自己滅火","大聲呼叫並通報，迅速搶救易燃爆裂物（若安全許可）","逃跑","拍照","B","發現彈藥庫起火應立即通報並啟動消防機制，若火勢無法控制應迅速撤離並疏散周邊。","消防安全教育手冊"
"T91 步槍的「復進簧」主要功能為何？","吸收後座力並將槍機推回前方","擊發子彈","退殼","瞄準","A","復進簧位於槍托內（或機匣後方），負責吸收槍機後退的能量，並利用彈力將槍機推回前方閉鎖。","兵工裝備諸元手冊"
"在操作「AED（自動體外心臟電擊去顫器）」時，當機器發出「建議電擊」語音，按下按鈕前必須確認什麼？","是否有插電","所有人離開患者身體（淨空）","患者是否清醒","是否還有呼吸","B","電擊瞬間若有人接觸患者導電，可能造成危險，故必須大喊「大家離開」並確認淨空。","國軍緊急救護訓練手冊"
"下列何者為「准尉」的階級識別？（附註：國軍現行制度已無新任准尉）","一條槓","一顆梅花","無此階級","一顆星","C","國軍現行制度下，士官長之上即接續少尉，已無新敘任之准尉階級。","陸海空軍軍官士官任官條例"
"軍中「早點名」時，聽到國歌前奏，應立即採取何種動作？","立正致敬","稍息","蹲下","敬禮","A","聞國歌前奏（或升旗歌），全體人員應立即立正，向國旗或指揮官致敬。","國軍內部管理實務"
"T91 步槍的「擊錘」位於哪個組件內？","上機匣","下機匣","槍機","防火帽","B","擊錘、板機與阻鐵等擊發機構組件皆位於「下機匣」內。","兵工裝備諸元手冊"
"關於「衛哨用槍」的法定時機，下列何者錯誤？","對方單純辱罵衛兵","對方奪取衛兵武器","對方危害衛兵生命安全","對方強行闖入且不聽制止","A","用槍需符合比例原則，單純言語辱罵尚未構成生命威脅，不得使用槍械射擊。","衛哨勤務教範"
"新兵在「刺槍術」中，突刺動作完成後的喊聲是？","殺","喝","哈","嘿","A","刺槍術講求氣勢，突刺時配合腳步重踏，需大聲喊「殺」。","國軍刺槍術教範"
"關於「中暑」防治，若尿液顏色呈現「深褐色」甚至像可樂顏色，可能代表？","喝太多水","橫紋肌溶解症或嚴重脫水","正常的","吃太飽","B","深褐色尿液是橫紋肌溶解症的典型警訊，需立即送醫以免導致腎衰竭。","國軍中暑防治作業手冊"
"下列何者是「一等士官長」的階級識別？","粗折槓搭配三條細弧線","粗折槓搭配二條細弧線","粗折槓搭配一條細弧線","三條粗槓","A","一等士官長（三細）> 二等士官長（二細）> 三等士官長（一細）。","陸海空軍服制條例"
"在軍事地圖閱讀中，地圖上的「北方」通常是指向哪裡？","下方","上方","左方","右方","B","軍用地圖與一般地圖相同，原則上「上方」為北方。","地圖閱讀教範"
"T91 步槍射擊時，若彈殼無法順利拋出（卡在拋殼窗），俗稱什麼？","卡彈（夾殼）","未爆彈","膛炸","遲發火","A","彈殼未完全拋出被槍機夾住，俗稱「煙囪」或夾殼，需拉拉柄排除。","輕兵器射擊訓練手冊"
"關於「內務整理」，軍靴（大頭皮鞋）通常擺放在哪裡？","床底下","內務櫃最下方或床尾指定位置","桌子上","隨便放","B","依單位規定，軍靴通常置於床尾鞋架或內務櫃最下層，並需擦拭乾淨。","內務教則"
"若在操課中發生「蜂螫」，拔除毒刺時應使用什麼工具避免擠壓毒囊？","鑷子或針","手指用力捏","刀片","卡片（如身分證）刮除","D","用手捏容易擠壓毒囊釋放更多毒液，建議用卡片鈍邊輕輕刮除毒刺。","國軍緊急救護訓練手冊"
"下列何者為「少將」的識別標誌？","一顆星","二顆星","三顆星","四顆星","A","少將為一顆星。","陸海空軍服制條例"
"在單兵戰鬥教練中，關於「伏進（匍匐前進）」動作，身體應盡量？","貼緊地面","抬高屁股","跳躍","側身","A","匍匐前進目的是利用低矮遮蔽物，故身體（尤其是頭部與臀部）應盡量貼緊地面。","單兵戰鬥教練手冊"
"軍中「莒光日」電視教學結束後，通常會進行什麼活動？","睡覺","分組討論（心得分享）","看電影","打掃","B","電視教學後會分組進行心得討論與分享，由輔導長或幹部主持。","政戰實務工作"
"T91 步槍的「夜間準星」上塗有什麼物質以利瞄準？","螢光劑（氚光）","白漆","紅漆","反光貼紙","A","T91 準星與覘孔上設有自發光之氚氣管（或螢光點），供夜間瞄準使用。","兵工裝備諸元手冊"
